S.No.,Transaction_ID,Date,Store_ID,Customer_id,Product_ID,Quantity,Revenue,Discount,Festival Name,Payment Mode
70,TXN000070,15-08-2025,ST357,CU01759,PR0551,2,8118,41,Holi,Card
71,TXN000071,16-11-2025,ST248,CU02313,PR0161,7,6277,48,Holi,Card
72,TXN000072,07-07-2025,ST079,CU00575,PR0496,7,4289,36,Holi,Cash
73,TXN000073,07-12-2025,ST151,CU06326,PR0687,4,3968,8,Holi,Card
74,TXN000074,25-07-2025,ST312,CU07260,PR0736,10,10751,2,Sankranti,Card
75,TXN000075,09-10-2025,ST487,CU01042,PR0544,6,11718,21,Sankranti,UPI
76,TXN000076,28-06-2025,ST282,CU07599,PR0374,10,8882,28,Diwali,Card
77,TXN000077,08-05-2025,ST413,CU03709,PR0392,7,7606,19,Sankranti,UPI
78,TXN000078,17-06-2025,ST046,CU04089,PR0325,3,12487,16,Sankranti,Cash
79,TXN000079,09-07-2025,ST317,CU07997,PR0853,1,3845,29,Holi,Cash
80,TXN000080,17-08-2025,ST345,CU07983,PR0649,1,2526,10,Normal Day,Cash
81,TXN000081,02-06-2025,ST093,CU01647,PR0394,1,15732,6,Diwali,Cash
82,TXN000082,17-07-2025,ST011,CU04114,PR0171,7,2897,1,Normal Day,Card
83,TXN000083,23-04-2025,ST123,CU02359,PR0093,6,3712,48,Holi,UPI
84,TXN000084,28-02-2025,ST387,CU06694,PR0578,4,4618,9,Normal Day,UPI
85,TXN000085,19-12-2025,ST272,CU03048,PR0170,2,18892,37,Diwali,Card
86,TXN000086,22-06-2025,ST224,CU08024,PR0429,7,1953,24,Normal Day,Cash
87,TXN000087,28-12-2025,ST087,CU02207,PR0754,5,3982,50,Normal Day,Card
88,TXN000088,28-04-2025,ST316,CU05510,PR0650,6,7654,19,Holi,Cash
89,TXN000089,04-01-2025,ST269,CU08556,PR0693,10,7313,4,Sankranti,Cash
90,TXN000090,12-07-2025,ST124,CU01702,PR0185,4,3558,1,Sankranti,Card
91,TXN000091,24-09-2025,ST383,CU09964,PR0937,5,6046,9,Sankranti,UPI
92,TXN000092,11-01-2025,ST329,CU02078,PR0273,3,7485,36,Holi,UPI
93,TXN000093,22-06-2025,ST157,CU00494,PR0158,4,8656,11,Holi,Cash
94,TXN000094,15-12-2025,ST088,CU05315,PR0382,7,14073,6,Diwali,UPI
95,TXN000095,15-10-2025,ST082,CU00573,PR0426,2,2662,7,Holi,Cash
96,TXN000096,19-12-2025,ST158,CU01121,PR0746,8,429,16,Normal Day,UPI
97,TXN000097,18-12-2025,ST199,CU09430,PR0755,5,15771,13,Diwali,Cash
98,TXN000098,06-04-2025,ST211,CU00836,PR0857,10,19316,48,Diwali,Card
99,TXN000099,14-06-2025,ST086,CU03848,PR0836,2,8113,49,Holi,UPI
100,TXN000100,18-12-2025,ST005,CU03533,PR0484,1,124,18,Normal Day,Card
101,TXN000101,26-09-2025,ST236,CU03375,PR0738,3,19382,24,Diwali,Cash
102,TXN000102,05-05-2025,ST259,CU02785,PR0819,6,8001,41,Sankranti,Cash
103,TXN000103,14-02-2025,ST044,CU01897,PR0573,6,834,18,Normal Day,Card
104,TXN000104,16-06-2025,ST319,CU07757,PR0379,9,7165,23,Diwali,Cash
105,TXN000105,06-01-2025,ST201,CU01382,PR0886,3,2157,41,Normal Day,Card
106,TXN000106,08-03-2025,ST341,CU01264,PR0275,8,3878,44,Holi,Card
107,TXN000107,16-12-2025,ST255,CU09893,PR0566,6,3416,33,Normal Day,UPI
108,TXN000108,21-06-2025,ST058,CU08311,PR0434,7,2418,37,Normal Day,UPI
109,TXN000109,10-07-2025,ST144,CU04531,PR0767,6,2485,50,Normal Day,Cash
110,TXN000110,04-08-2025,ST357,CU07316,PR0406,6,8536,4,Holi,UPI
111,TXN000111,11-05-2025,ST075,CU08319,PR0309,10,9253,32,Holi,Card
112,TXN000112,22-09-2025,ST351,CU04028,PR0495,2,19523,36,Diwali,Cash
113,TXN000113,11-09-2025,ST420,CU08774,PR0788,7,2549,24,Normal Day,UPI
114,TXN000114,20-11-2025,ST239,CU08241,PR0484,5,3942,15,Normal Day,UPI
115,TXN000115,01-10-2025,ST075,CU06386,PR0405,4,8689,25,Holi,Cash
116,TXN000116,11-08-2025,ST310,CU02957,PR0107,9,168,31,Normal Day,UPI
117,TXN000117,23-11-2025,ST025,CU09419,PR0336,2,802,47,Normal Day,UPI
118,TXN000118,20-01-2025,ST187,CU09051,PR0036,3,6433,47,Holi,Cash
119,TXN000119,18-05-2025,ST065,CU06708,PR0249,6,8085,10,Diwali,Card
120,TXN000120,19-04-2025,ST328,CU07505,PR0329,10,3577,12,Holi,Card
121,TXN000121,28-05-2025,ST485,CU00354,PR0529,1,4875,5,Sankranti,UPI
122,TXN000122,06-12-2025,ST147,CU01021,PR0449,7,7691,32,Holi,UPI
123,TXN000123,03-10-2025,ST065,CU00416,PR0653,9,9713,20,Diwali,UPI
124,TXN000124,03-04-2025,ST459,CU07163,PR0604,10,9958,39,Holi,Card
125,TXN000125,11-05-2025,ST177,CU02158,PR0275,6,8740,17,Diwali,Cash
126,TXN000126,26-03-2025,ST243,CU07409,PR0051,8,419,40,Normal Day,UPI
127,TXN000127,06-07-2025,ST062,CU03306,PR0521,1,6377,5,Holi,Card
128,TXN000128,17-08-2025,ST038,CU05936,PR0853,2,7256,49,Diwali,Cash
129,TXN000129,20-04-2025,ST161,CU03198,PR0250,2,4950,17,Sankranti,Card
130,TXN000130,03-07-2025,ST225,CU03799,PR0197,5,6959,16,Sankranti,UPI
131,TXN000131,11-07-2025,ST292,CU03158,PR0523,4,3828,37,Normal Day,Cash
132,TXN000132,10-05-2025,ST138,CU05276,PR0130,9,7840,14,Sankranti,Cash
133,TXN000133,15-12-2025,ST318,CU01433,PR0651,1,18378,13,Diwali,UPI
134,TXN000134,07-10-2025,ST207,CU04343,PR0299,1,10936,50,Diwali,Cash
135,TXN000135,04-10-2025,ST234,CU08240,PR0822,4,2869,4,Holi,Card
136,TXN000136,02-07-2025,ST251,CU01206,PR0500,7,7713,12,Holi,UPI
137,TXN000137,12-09-2025,ST038,CU09914,PR0142,1,14780,34,Diwali,Cash
138,TXN000138,14-07-2025,ST116,CU03361,PR0176,1,2977,5,Holi,Cash
139,TXN000139,15-12-2025,ST360,CU01382,PR0542,1,8716,16,Holi,Card
140,TXN000140,18-03-2025,ST020,CU08629,PR0242,1,4753,26,Holi,Cash
141,TXN000141,05-08-2025,ST412,CU09274,PR0621,3,12449,4,Diwali,Card
142,TXN000142,18-11-2025,ST198,CU04884,PR0819,5,7543,9,Holi,Cash
143,TXN000143,22-10-2025,ST096,CU09980,PR0326,10,7632,35,Diwali,UPI
144,TXN000144,07-09-2025,ST179,CU06745,PR0626,6,19527,16,Diwali,Cash
145,TXN000145,23-05-2025,ST071,CU08027,PR0409,6,1163,35,Normal Day,Cash
146,TXN000146,17-02-2025,ST077,CU03190,PR0525,7,156,26,Normal Day,UPI
147,TXN000147,05-11-2025,ST460,CU00477,PR0243,7,14433,8,Sankranti,Card
148,TXN000148,27-03-2025,ST455,CU03860,PR0987,6,5326,5,Diwali,Card
149,TXN000149,10-11-2025,ST189,CU03408,PR0131,10,9896,4,Holi,Card
150,TXN000150,19-12-2025,ST213,CU06334,PR0351,3,5736,12,Holi,Card
151,TXN000151,16-04-2025,ST427,CU00208,PR0245,7,6285,28,Diwali,Card
152,TXN000152,13-04-2025,ST493,CU01708,PR0933,8,16016,18,Diwali,Card
153,TXN000153,04-10-2025,ST121,CU00749,PR0988,5,18211,1,Diwali,Card
154,TXN000154,09-05-2025,ST413,CU01934,PR0433,4,10966,13,Sankranti,Cash
155,TXN000155,20-05-2025,ST172,CU01539,PR0744,1,7253,37,Diwali,Cash
156,TXN000156,22-01-2025,ST005,CU08409,PR0002,9,2758,33,Normal Day,Cash
157,TXN000157,24-07-2025,ST217,CU01753,PR0388,10,9285,6,Holi,Cash
158,TXN000158,16-09-2025,ST162,CU03010,PR0894,2,3148,25,Normal Day,UPI
159,TXN000159,19-10-2025,ST184,CU04860,PR0122,7,10279,46,Diwali,UPI
160,TXN000160,02-11-2025,ST328,CU06031,PR0400,1,6199,18,Holi,Card
161,TXN000161,06-08-2025,ST481,CU07194,PR0902,7,3643,49,Sankranti,Cash
162,TXN000162,17-11-2025,ST286,CU00352,PR0695,3,14491,27,Sankranti,Card
163,TXN000163,27-05-2025,ST116,CU03464,PR0047,1,19806,43,Diwali,UPI
164,TXN000164,02-06-2025,ST088,CU07197,PR0003,3,5519,32,Holi,UPI
165,TXN000165,19-01-2025,ST362,CU06954,PR0603,3,118,19,Normal Day,UPI
166,TXN000166,10-01-2025,ST405,CU04119,PR0395,5,6985,19,Sankranti,UPI
167,TXN000167,03-09-2025,ST047,CU06327,PR0875,1,3582,14,Holi,Card
168,TXN000168,15-05-2025,ST241,CU02992,PR0024,3,7889,24,Sankranti,Card
169,TXN000169,13-01-2025,ST448,CU06135,PR0680,8,4414,10,Holi,Cash
170,TXN000170,05-12-2025,ST061,CU01626,PR0801,10,8998,50,Diwali,Cash
171,TXN000171,06-10-2025,ST489,CU00080,PR0128,9,4964,17,Holi,UPI
172,TXN000172,02-06-2025,ST325,CU03509,PR0041,3,2509,38,Holi,Cash
173,TXN000173,21-02-2025,ST218,CU08290,PR0944,1,4307,7,Normal Day,Cash
174,TXN000174,09-11-2025,ST035,CU00533,PR0865,2,15717,49,Diwali,UPI
175,TXN000175,05-09-2025,ST457,CU07140,PR0071,9,10123,29,Sankranti,Card
176,TXN000176,27-01-2025,ST268,CU02257,PR0212,1,7688,38,Diwali,UPI
177,TXN000177,05-03-2025,ST331,CU03454,PR0878,4,11416,14,Diwali,Cash
178,TXN000178,03-02-2025,ST306,CU09506,PR0549,2,7640,17,Diwali,Cash
179,TXN000179,25-02-2025,ST444,CU06175,PR0033,4,9062,31,Holi,UPI
180,TXN000180,21-02-2025,ST157,CU05113,PR0796,2,12752,28,Diwali,Card
181,TXN000181,26-08-2025,ST261,CU08543,PR0384,5,15027,6,Diwali,Card
182,TXN000182,23-04-2025,ST332,CU00237,PR0034,10,4309,42,Normal Day,Cash
183,TXN000183,13-01-2025,ST067,CU03303,PR0918,2,8771,13,Holi,UPI
184,TXN000184,20-08-2025,ST249,CU05321,PR0211,6,4425,8,Normal Day,Cash
185,TXN000185,11-09-2025,ST359,CU00682,PR0534,5,4659,32,Sankranti,Card
186,TXN000186,13-11-2025,ST267,CU07360,PR0099,8,5856,35,Diwali,UPI
187,TXN000187,02-01-2025,ST180,CU01384,PR0641,2,2230,0,Normal Day,Cash
188,TXN000188,01-05-2025,ST381,CU07876,PR0155,9,4035,12,Normal Day,UPI
189,TXN000189,22-06-2025,ST304,CU04554,PR0555,6,15771,17,Diwali,UPI
190,TXN000190,01-02-2025,ST364,CU08143,PR0400,10,6463,15,Holi,Cash
191,TXN000191,08-08-2025,ST117,CU08510,PR0414,3,7056,27,Holi,Card
192,TXN000192,23-01-2025,ST465,CU06014,PR0984,3,2244,37,Normal Day,Cash
193,TXN000193,20-05-2025,ST083,CU08597,PR0959,2,7058,38,Sankranti,Card
194,TXN000194,16-10-2025,ST106,CU09550,PR0443,1,12429,3,Sankranti,UPI
195,TXN000195,23-02-2025,ST386,CU04413,PR0278,8,200,11,Normal Day,Card
196,TXN000196,14-08-2025,ST057,CU00866,PR0269,2,9936,20,Holi,Cash
197,TXN000197,05-09-2025,ST333,CU00242,PR0749,8,655,36,Normal Day,Card
198,TXN000198,25-10-2025,ST255,CU06873,PR0219,9,8088,21,Diwali,Cash
199,TXN000199,05-06-2025,ST134,CU07006,PR0907,9,3918,47,Holi,Card
200,TXN000200,23-09-2025,ST122,CU03668,PR0302,5,7354,34,Sankranti,Cash
201,TXN000201,26-08-2025,ST026,CU00573,PR0973,6,6922,9,Holi,UPI
202,TXN000202,22-09-2025,ST190,CU03008,PR0760,4,13940,46,Sankranti,UPI
203,TXN000203,01-06-2025,ST429,CU04211,PR0461,2,9061,40,Holi,UPI
204,TXN000204,14-11-2025,ST054,CU01862,PR0379,4,7298,15,Sankranti,Cash
205,TXN000205,21-04-2025,ST400,CU08255,PR0865,10,3785,8,Normal Day,Cash
206,TXN000206,18-04-2025,ST421,CU05561,PR0235,1,13616,18,Diwali,Card
207,TXN000207,25-01-2025,ST249,CU06422,PR0732,1,19212,1,Diwali,UPI
208,TXN000208,06-08-2025,ST013,CU00174,PR0212,6,4030,34,Normal Day,Card
209,TXN000209,07-03-2025,ST385,CU01122,PR0176,7,4979,6,Holi,Card
210,TXN000210,05-11-2025,ST201,CU08609,PR0277,1,1181,46,Normal Day,UPI
211,TXN000211,12-02-2025,ST194,CU06818,PR0051,10,11932,19,Diwali,Card
212,TXN000212,02-06-2025,ST224,CU09026,PR0817,4,1756,6,Normal Day,Cash
213,TXN000213,26-11-2025,ST186,CU02991,PR0338,6,16284,3,Diwali,Card
214,TXN000214,06-06-2025,ST269,CU05814,PR0986,6,10244,27,Sankranti,Cash
215,TXN000215,09-03-2025,ST202,CU07610,PR0252,3,3820,15,Normal Day,Cash
216,TXN000216,07-09-2025,ST096,CU00068,PR0465,4,19691,33,Diwali,Cash
217,TXN000217,01-06-2025,ST053,CU01137,PR0723,6,7800,26,Sankranti,UPI
218,TXN000218,17-01-2025,ST166,CU07329,PR0159,2,10087,37,Diwali,Card
219,TXN000219,15-03-2025,ST134,CU02823,PR0287,5,1117,11,Normal Day,Cash
220,TXN000220,22-04-2025,ST209,CU05968,PR0007,4,2935,47,Holi,UPI
221,TXN000221,05-07-2025,ST324,CU00593,PR0765,3,7998,49,Diwali,Card
222,TXN000222,09-10-2025,ST436,CU00501,PR0265,2,2936,26,Holi,Cash
223,TXN000223,22-03-2025,ST039,CU01027,PR0299,6,1401,18,Normal Day,Card
224,TXN000224,22-07-2025,ST326,CU07794,PR0166,3,1538,25,Normal Day,UPI
225,TXN000225,26-06-2025,ST263,CU02823,PR0586,4,5970,36,Holi,UPI
226,TXN000226,13-07-2025,ST023,CU07511,PR0135,10,8158,31,Sankranti,Card
227,TXN000227,22-06-2025,ST013,CU05100,PR0968,7,9928,33,Diwali,UPI
228,TXN000228,17-10-2025,ST215,CU03534,PR0367,9,1386,4,Normal Day,UPI
229,TXN000229,08-12-2025,ST377,CU08439,PR0830,1,9382,27,Diwali,Cash
230,TXN000230,20-12-2025,ST205,CU01172,PR0667,10,4446,42,Normal Day,Card
231,TXN000231,11-01-2025,ST044,CU03045,PR0921,5,5296,30,Holi,Cash
232,TXN000232,24-03-2025,ST262,CU00798,PR0547,8,14950,45,Sankranti,Card
233,TXN000233,23-07-2025,ST432,CU04109,PR0351,4,8066,45,Diwali,Cash
234,TXN000234,08-06-2025,ST248,CU00066,PR0716,2,15574,2,Diwali,UPI
235,TXN000235,04-07-2025,ST308,CU00429,PR0413,2,10139,15,Sankranti,Cash
236,TXN000236,21-09-2025,ST465,CU00653,PR0860,6,17864,42,Diwali,Cash
237,TXN000237,28-11-2025,ST404,CU06637,PR0987,9,6629,44,Sankranti,Cash
238,TXN000238,28-12-2025,ST410,CU01556,PR0271,8,2266,49,Normal Day,UPI
239,TXN000239,09-08-2025,ST442,CU09824,PR0927,7,8158,2,Holi,Cash
240,TXN000240,27-01-2025,ST353,CU03426,PR0112,10,7936,22,Diwali,UPI
241,TXN000241,23-11-2025,ST015,CU05933,PR0482,5,2452,18,Holi,Cash
242,TXN000242,12-02-2025,ST231,CU01781,PR0371,10,2540,20,Holi,Card
243,TXN000243,27-02-2025,ST190,CU00709,PR0053,2,9313,30,Holi,Cash
244,TXN000244,12-09-2025,ST454,CU02872,PR0115,6,1081,16,Normal Day,Card
245,TXN000245,15-07-2025,ST192,CU01000,PR0529,10,8302,0,Diwali,Cash
246,TXN000246,22-01-2025,ST470,CU08084,PR0116,10,8548,7,Sankranti,Cash
247,TXN000247,17-06-2025,ST495,CU04030,PR0084,4,4948,42,Normal Day,Cash
248,TXN000248,28-07-2025,ST014,CU05344,PR0005,3,9986,38,Holi,Cash
249,TXN000249,06-07-2025,ST038,CU07877,PR0365,1,9415,20,Holi,Card
250,TXN000250,24-03-2025,ST265,CU05181,PR0605,4,18617,36,Diwali,Cash
251,TXN000251,07-06-2025,ST095,CU02768,PR0439,8,12600,34,Sankranti,Card
252,TXN000252,19-06-2025,ST226,CU07460,PR0155,3,5839,24,Holi,UPI
253,TXN000253,16-06-2025,ST256,CU07760,PR0768,4,18555,6,Diwali,Cash
254,TXN000254,10-01-2025,ST445,CU07865,PR0909,3,2796,35,Holi,UPI
255,TXN000255,20-06-2025,ST416,CU01894,PR0632,3,1702,38,Normal Day,Card
256,TXN000256,22-08-2025,ST113,CU04344,PR0895,6,1773,13,Normal Day,UPI
257,TXN000257,23-01-2025,ST456,CU00935,PR0348,10,6031,39,Diwali,Card
258,TXN000258,18-11-2025,ST304,CU09097,PR0063,7,3403,47,Holi,Cash
259,TXN000259,20-11-2025,ST194,CU06920,PR0773,3,5022,26,Diwali,UPI
260,TXN000260,20-09-2025,ST406,CU00283,PR0455,3,3868,23,Sankranti,UPI
261,TXN000261,09-07-2025,ST419,CU07170,PR0940,10,14945,50,Diwali,UPI
262,TXN000262,07-10-2025,ST464,CU03659,PR0126,5,8597,47,Holi,Cash
263,TXN000263,10-05-2025,ST429,CU02207,PR0162,1,2544,9,Normal Day,Card
264,TXN000264,23-04-2025,ST021,CU06824,PR0890,8,18047,42,Diwali,Cash
265,TXN000265,11-03-2025,ST383,CU02327,PR0111,6,6378,36,Sankranti,Card
266,TXN000266,02-07-2025,ST363,CU07729,PR0098,10,7942,16,Holi,Cash
267,TXN000267,11-12-2025,ST126,CU03573,PR0581,6,7423,40,Diwali,Cash
268,TXN000268,10-07-2025,ST390,CU04225,PR0852,1,9192,16,Sankranti,Card
269,TXN000269,28-12-2025,ST218,CU02690,PR0460,10,870,50,Normal Day,UPI
270,TXN000270,15-10-2025,ST234,CU04335,PR0147,1,5181,42,Holi,Card
271,TXN000271,02-02-2025,ST299,CU02594,PR0711,7,4902,14,Sankranti,Card
272,TXN000272,28-07-2025,ST030,CU08457,PR0847,8,4518,24,Normal Day,Cash
273,TXN000273,13-06-2025,ST096,CU07307,PR0197,9,12302,50,Sankranti,Cash
274,TXN000274,14-03-2025,ST445,CU06906,PR0117,9,2948,26,Normal Day,Card
275,TXN000275,12-01-2025,ST297,CU01410,PR0751,7,9917,43,Diwali,UPI
276,TXN000276,08-10-2025,ST037,CU02460,PR0051,4,1122,21,Normal Day,Card
277,TXN000277,03-12-2025,ST394,CU05964,PR0336,9,1949,24,Normal Day,Card
278,TXN000278,21-08-2025,ST304,CU07834,PR0261,3,1150,47,Normal Day,UPI
279,TXN000279,01-11-2025,ST077,CU09760,PR0767,8,8381,47,Diwali,Card
280,TXN000280,27-11-2025,ST393,CU04176,PR0536,7,12499,43,Sankranti,Card
281,TXN000281,20-05-2025,ST354,CU01378,PR0796,1,951,2,Normal Day,Card
282,TXN000282,20-04-2025,ST311,CU05194,PR0224,2,4421,44,Normal Day,UPI
283,TXN000283,18-02-2025,ST135,CU05951,PR0653,9,4314,45,Normal Day,UPI
284,TXN000284,23-04-2025,ST356,CU08043,PR0616,1,8599,24,Diwali,Card
285,TXN000285,07-03-2025,ST244,CU09959,PR0461,6,18592,13,Diwali,UPI
286,TXN000286,10-07-2025,ST262,CU06622,PR0252,5,3220,0,Normal Day,Card
287,TXN000287,09-01-2025,ST087,CU00079,PR0331,4,6283,14,Diwali,UPI
288,TXN000288,24-02-2025,ST228,CU02120,PR0634,7,314,50,Normal Day,UPI
289,TXN000289,05-01-2025,ST453,CU03135,PR0349,6,3657,3,Normal Day,Card
290,TXN000290,19-12-2025,ST081,CU05530,PR0120,1,4187,47,Holi,UPI
291,TXN000291,15-05-2025,ST270,CU08539,PR0321,6,1500,6,Normal Day,Cash
292,TXN000292,19-06-2025,ST154,CU02396,PR0792,5,6503,6,Holi,Cash
293,TXN000293,02-03-2025,ST483,CU04804,PR0696,2,4448,17,Normal Day,Cash
294,TXN000294,05-11-2025,ST202,CU02448,PR0431,2,4610,22,Holi,UPI
295,TXN000295,01-08-2025,ST236,CU01159,PR0267,4,12101,28,Sankranti,UPI
296,TXN000296,14-12-2025,ST420,CU03804,PR0112,1,13811,20,Diwali,UPI
297,TXN000297,14-09-2025,ST074,CU07631,PR0243,3,14694,49,Sankranti,Card
298,TXN000298,10-07-2025,ST096,CU08185,PR0835,7,3265,31,Normal Day,Cash
299,TXN000299,21-01-2025,ST077,CU08900,PR0372,1,4354,3,Holi,UPI
300,TXN000300,18-06-2025,ST130,CU07972,PR0257,8,262,35,Normal Day,UPI
301,TXN000301,10-02-2025,ST079,CU00081,PR0119,9,1421,4,Normal Day,UPI
302,TXN000302,26-08-2025,ST167,CU02469,PR0152,3,10771,12,Diwali,Cash
303,TXN000303,27-10-2025,ST061,CU02486,PR0324,6,13394,17,Diwali,Card
304,TXN000304,23-06-2025,ST373,CU05240,PR0209,5,661,50,Normal Day,UPI
305,TXN000305,25-01-2025,ST213,CU08021,PR0842,4,1018,9,Normal Day,UPI
306,TXN000306,16-01-2025,ST392,CU09390,PR0655,3,9813,8,Diwali,UPI
307,TXN000307,18-01-2025,ST063,CU05557,PR0869,8,7434,1,Sankranti,UPI
308,TXN000308,27-06-2025,ST213,CU08665,PR1000,4,3830,16,Sankranti,Card
309,TXN000309,04-01-2025,ST342,CU05369,PR0086,5,8557,17,Sankranti,UPI
