Customer_ID,Age_group,Gender,Loyality_Status
CU00090,36-45,Male,Bronze
CU00091,46-60,Female,Gold
CU00092,18-25,Male,Non-Member
CU00093,60+,Female,Non-Member
CU00094,26-35,Female,Silver
CU00095,26-35,Female,Gold
CU00096,60+,Female,Bronze
CU00097,18-25,Female,Gold
CU00098,26-35,Female,Non-Member
CU00099,60+,Male,Non-Member
CU00100,36-45,Female,Bronze
CU00101,36-45,Female,Silver
CU00102,26-35,Female,Non-Member
CU00103,46-60,Female,Bronze
CU00104,18-25,Female,Bronze
CU00105,26-35,Female,Gold
CU00106,26-35,Male,Non-Member
CU00107,60+,Female,Bronze
CU00108,18-25,Female,Non-Member
CU00109,18-25,Male,Gold
CU00110,18-25,Male,Bronze
CU00111,26-35,Male,Silver
CU00112,36-45,Male,Non-Member
CU00113,46-60,Male,Silver
CU00114,36-45,Male,Bronze
CU00115,18-25,Male,Bronze
CU00116,36-45,Male,Bronze
CU00117,46-60,Male,Gold
CU00118,18-25,Female,Non-Member
CU00119,36-45,Male,Bronze
CU00120,18-25,Male,Silver
CU00121,36-45,Male,Silver
CU00122,60+,Female,Gold
CU00123,36-45,Female,Gold
CU00124,46-60,Male,Non-Member
CU00125,46-60,Male,Non-Member
CU00126,36-45,Female,Bronze
CU00127,46-60,Male,Bronze
CU00128,46-60,Male,Non-Member
CU00129,26-35,Male,Non-Member
CU00130,46-60,Male,Non-Member
CU00131,60+,Male,Gold
CU00132,18-25,Female,Non-Member
CU00133,18-25,Male,Bronze
CU00134,36-45,Male,Bronze
CU00135,46-60,Female,Non-Member
CU00136,36-45,Female,Gold
CU00137,46-60,Male,Gold
CU00138,46-60,Male,Bronze
CU00139,46-60,Female,Gold
CU00140,26-35,Male,Non-Member
CU00141,60+,Male,Gold
CU00142,18-25,Female,Gold
CU00143,36-45,Male,Bronze
CU00144,46-60,Female,Gold
CU00145,26-35,Female,Non-Member
CU00146,46-60,Male,Gold
CU00147,36-45,Male,Silver
CU00148,26-35,Male,Gold
CU00149,60+,Female,Bronze
CU00150,60+,Female,Silver
CU00151,46-60,Male,Silver
CU00152,46-60,Female,Bronze
CU00153,18-25,Female,Non-Member
CU00154,18-25,Male,Bronze
CU00155,18-25,Female,Non-Member
CU00156,18-25,Female,Gold
CU00157,26-35,Female,Silver
CU00158,46-60,Male,Bronze
CU00159,26-35,Female,Gold
CU00160,46-60,Female,Gold
CU00161,60+,Female,Non-Member
CU00162,26-35,Male,Non-Member
CU00163,18-25,Female,Non-Member
CU00164,18-25,Male,Bronze
CU00165,60+,Male,Gold
CU00166,18-25,Male,Gold
CU00167,46-60,Male,Gold
CU00168,60+,Male,Silver
CU00169,46-60,Female,Silver
CU00170,46-60,Male,Bronze
CU00171,18-25,Female,Gold
CU00172,36-45,Male,Non-Member
CU00173,26-35,Male,Silver
CU00174,18-25,Male,Bronze
CU00175,26-35,Female,Gold
CU00176,36-45,Female,Silver
CU00177,46-60,Male,Bronze
CU00178,46-60,Male,Non-Member
CU00179,46-60,Female,Gold
CU00180,46-60,Male,Non-Member
CU00181,46-60,Female,Bronze
CU00182,60+,Male,Non-Member
CU00183,46-60,Male,Non-Member
CU00184,46-60,Male,Non-Member
CU00185,26-35,Female,Non-Member
CU00186,36-45,Female,Silver
CU00187,26-35,Male,Silver
CU00188,36-45,Male,Silver
CU00189,26-35,Female,Bronze
CU00190,60+,Male,Non-Member
CU00191,46-60,Male,Bronze
CU00192,46-60,Male,Bronze
CU00193,18-25,Male,Gold
CU00194,36-45,Female,Non-Member
CU00195,60+,Female,Gold
CU00196,36-45,Female,Silver
CU00197,46-60,Female,Bronze
CU00198,60+,Male,Silver
CU00199,60+,Male,Gold
CU00200,60+,Female,Bronze
CU00201,46-60,Male,Bronze
CU00202,26-35,Female,Bronze
CU00203,26-35,Female,Bronze
CU00204,36-45,Female,Gold
CU00205,46-60,Male,Silver
CU00206,60+,Male,Bronze
CU00207,18-25,Male,Bronze
CU00208,36-45,Female,Silver
CU00209,36-45,Female,Bronze
CU00210,18-25,Male,Non-Member
CU00211,36-45,Male,Bronze
CU00212,46-60,Male,Bronze
CU00213,26-35,Female,Non-Member
CU00214,60+,Female,Gold
CU00215,36-45,Female,Gold
CU00216,60+,Male,Silver
CU00217,26-35,Female,Bronze
CU00218,18-25,Female,Silver
CU00219,36-45,Female,Gold
CU00220,36-45,Male,Bronze
CU00221,26-35,Male,Non-Member
CU00222,18-25,Male,Bronze
CU00223,26-35,Female,Non-Member
CU00224,60+,Female,Gold
CU00225,60+,Female,Silver
CU00226,60+,Male,Bronze
CU00227,18-25,Female,Silver
CU00228,60+,Female,Non-Member
CU00229,46-60,Male,Non-Member
CU00230,46-60,Male,Non-Member
CU00231,60+,Female,Bronze
CU00232,26-35,Male,Non-Member
CU00233,18-25,Male,Gold
CU00234,60+,Female,Bronze
CU00235,18-25,Male,Non-Member
CU00236,26-35,Male,Non-Member
CU00237,46-60,Female,Gold
CU00238,18-25,Male,Non-Member
CU00239,60+,Female,Silver
CU00240,46-60,Male,Gold
CU00241,60+,Male,Gold
CU00242,18-25,Male,Non-Member
CU00243,46-60,Female,Bronze
CU00244,18-25,Female,Bronze
CU00245,18-25,Female,Non-Member
CU00246,60+,Female,Gold
CU00247,46-60,Female,Bronze
CU00248,36-45,Female,Bronze
CU00249,46-60,Male,Gold
CU00250,46-60,Female,Gold
CU00251,36-45,Male,Non-Member
CU00252,46-60,Female,Silver
CU00253,36-45,Female,Gold
CU00254,46-60,Female,Non-Member
CU00255,26-35,Male,Gold
CU00256,18-25,Male,Gold
CU00257,46-60,Female,Silver
CU00258,18-25,Female,Non-Member
CU00259,60+,Male,Gold
CU00260,26-35,Male,Non-Member
CU00261,26-35,Female,Bronze
CU00262,18-25,Female,Gold
CU00263,26-35,Male,Silver
CU00264,46-60,Male,Silver
CU00265,36-45,Female,Bronze
CU00266,36-45,Male,Non-Member
CU00267,46-60,Male,Bronze
CU00268,26-35,Female,Non-Member
CU00269,36-45,Male,Bronze
CU00270,60+,Male,Bronze
CU00271,26-35,Male,Bronze
CU00272,18-25,Female,Non-Member
CU00273,26-35,Male,Non-Member
CU00274,18-25,Male,Bronze
CU00275,26-35,Male,Bronze
CU00276,36-45,Female,Gold
CU00277,60+,Male,Bronze
CU00278,18-25,Female,Silver
CU00279,26-35,Male,Silver
CU00280,18-25,Male,Bronze
CU00281,60+,Male,Bronze
CU00282,26-35,Male,Bronze
CU00283,60+,Male,Silver
CU00284,26-35,Male,Non-Member
CU00285,36-45,Male,Gold
CU00286,36-45,Female,Gold
CU00287,46-60,Female,Non-Member
CU00288,18-25,Male,Non-Member
CU00289,60+,Female,Silver
CU00290,60+,Male,Non-Member
CU00291,18-25,Female,Silver
CU00292,46-60,Female,Silver
CU00293,60+,Male,Gold
CU00294,18-25,Male,Non-Member
CU00295,36-45,Male,Bronze
CU00296,60+,Female,Bronze
CU00297,36-45,Male,Non-Member
CU00298,60+,Male,Silver
CU00299,60+,Female,Non-Member
CU00300,60+,Female,Non-Member
CU00301,46-60,Male,Bronze
CU00302,18-25,Female,Silver
CU00303,26-35,Male,Gold
CU00304,46-60,Male,Bronze
CU00305,36-45,Female,Non-Member
CU00306,46-60,Female,Bronze
CU00307,60+,Male,Silver
CU00308,18-25,Male,Silver
CU00309,18-25,Male,Non-Member
CU00310,36-45,Female,Gold
CU00311,46-60,Female,Gold
CU00312,18-25,Female,Gold
CU00313,26-35,Female,Non-Member
CU00314,60+,Female,Gold
CU00315,36-45,Female,Non-Member
CU00316,26-35,Female,Bronze
CU00317,46-60,Female,Bronze
CU00318,36-45,Female,Gold
CU00319,46-60,Female,Gold
CU00320,18-25,Male,Non-Member
CU00321,36-45,Female,Silver
CU00322,46-60,Male,Non-Member
CU00323,36-45,Male,Non-Member
CU00324,60+,Male,Non-Member
CU00325,60+,Male,Non-Member
CU00326,60+,Female,Silver
CU00327,46-60,Female,Silver
CU00328,18-25,Female,Bronze
CU00329,18-25,Male,Bronze
CU00330,60+,Female,Non-Member
CU00331,18-25,Male,Silver
CU00332,18-25,Female,Non-Member
CU00333,18-25,Female,Gold
CU00334,36-45,Female,Gold
CU00335,60+,Male,Bronze
CU00336,26-35,Female,Bronze
CU00337,46-60,Female,Silver
CU00338,46-60,Male,Gold
CU00339,26-35,Male,Silver
CU00340,60+,Female,Gold
CU00341,60+,Male,Bronze
CU00342,18-25,Female,Silver
CU00343,36-45,Female,Non-Member
CU00344,26-35,Female,Non-Member
CU00345,26-35,Female,Non-Member
CU00346,18-25,Female,Bronze
CU00347,60+,Female,Gold
CU00348,46-60,Male,Silver
CU00349,46-60,Male,Non-Member
CU00350,36-45,Male,Gold
CU00351,60+,Female,Bronze
CU00352,46-60,Male,Bronze
CU00353,60+,Female,Gold
CU00354,26-35,Male,Silver
CU00355,26-35,Female,Non-Member
CU00356,46-60,Male,Gold
CU00357,60+,Male,Non-Member
CU00358,26-35,Male,Non-Member
CU00359,46-60,Female,Silver
CU00360,26-35,Male,Silver
CU00361,36-45,Female,Non-Member
CU00362,36-45,Female,Non-Member
CU00363,26-35,Female,Non-Member
CU00364,46-60,Female,Gold
CU00365,46-60,Female,Non-Member
CU00366,60+,Female,Silver
CU00367,36-45,Female,Non-Member
CU00368,46-60,Female,Silver
CU00369,36-45,Female,Silver
CU00370,60+,Female,Silver
CU00371,60+,Male,Silver
CU00372,46-60,Female,Silver
CU00373,46-60,Male,Silver
CU00374,26-35,Female,Bronze
CU00375,46-60,Female,Non-Member
CU00376,36-45,Male,Bronze
CU00377,18-25,Male,Bronze
CU00378,18-25,Male,Silver
CU00379,26-35,Male,Gold
CU00380,18-25,Female,Bronze
CU00381,26-35,Female,Gold
CU00382,36-45,Female,Gold
CU00383,60+,Female,Gold
CU00384,60+,Female,Bronze
CU00385,60+,Female,Non-Member
CU00386,36-45,Male,Bronze
CU00387,60+,Male,Silver
CU00388,18-25,Female,Gold
CU00389,36-45,Female,Non-Member
CU00390,18-25,Male,Gold
CU00391,46-60,Male,Gold
CU00392,60+,Male,Non-Member
CU00393,36-45,Male,Silver
CU00394,46-60,Female,Gold
CU00395,26-35,Male,Non-Member
CU00396,26-35,Male,Non-Member
CU00397,60+,Female,Silver
CU00398,46-60,Female,Non-Member
CU00399,36-45,Male,Silver
CU00400,60+,Female,Bronze
CU00401,60+,Female,Gold
CU00402,60+,Male,Silver
CU00403,36-45,Female,Silver
CU00404,26-35,Female,Silver
CU00405,36-45,Female,Non-Member
CU00406,36-45,Male,Silver
CU00407,18-25,Male,Non-Member
CU00408,46-60,Female,Non-Member
CU00409,26-35,Female,Gold
CU00410,60+,Male,Non-Member
CU00411,46-60,Female,Gold
CU00412,46-60,Female,Gold
CU00413,18-25,Male,Non-Member
CU00414,26-35,Male,Non-Member
CU00415,46-60,Female,Silver
CU00416,46-60,Male,Gold
CU00417,60+,Male,Silver
CU00418,46-60,Female,Silver
CU00419,46-60,Male,Silver
CU00420,26-35,Female,Silver
CU00421,18-25,Male,Gold
CU00422,60+,Male,Non-Member
CU00423,60+,Female,Non-Member
CU00424,18-25,Female,Silver
CU00425,46-60,Male,Bronze
CU00426,36-45,Female,Silver
CU00427,60+,Female,Gold
CU00428,60+,Female,Bronze
CU00429,46-60,Male,Bronze
CU00430,36-45,Male,Bronze
CU00431,18-25,Female,Silver
CU00432,36-45,Female,Bronze
CU00433,46-60,Female,Bronze
CU00434,36-45,Female,Gold
CU00435,26-35,Male,Non-Member
CU00436,18-25,Female,Non-Member
CU00437,36-45,Male,Silver
CU00438,26-35,Female,Silver
CU00439,36-45,Female,Gold
CU00440,46-60,Female,Silver
CU00441,26-35,Female,Bronze
CU00442,46-60,Female,Silver
CU00443,26-35,Male,Gold
CU00444,18-25,Male,Bronze
CU00445,36-45,Female,Non-Member
CU00446,18-25,Male,Non-Member
CU00447,26-35,Male,Non-Member
CU00448,46-60,Male,Non-Member
CU00449,46-60,Male,Gold
CU00450,18-25,Female,Bronze
CU00451,60+,Male,Non-Member
CU00452,60+,Male,Gold
CU00453,60+,Female,Silver
CU00454,60+,Female,Non-Member
CU00455,46-60,Female,Non-Member
CU00456,18-25,Male,Silver
CU00457,18-25,Male,Silver
CU00458,60+,Female,Gold
CU00459,26-35,Male,Silver
CU00460,18-25,Male,Silver
CU00461,26-35,Male,Silver
CU00462,26-35,Female,Gold
CU00463,60+,Female,Gold
CU00464,26-35,Male,Bronze
CU00465,26-35,Male,Gold
CU00466,18-25,Male,Non-Member
CU00467,36-45,Male,Gold
CU00468,46-60,Female,Bronze
CU00469,18-25,Female,Silver
CU00470,60+,Male,Gold
CU00471,26-35,Female,Silver
CU00472,26-35,Female,Gold
CU00473,36-45,Male,Bronze
CU00474,36-45,Male,Silver
CU00475,36-45,Female,Bronze
CU00476,46-60,Male,Gold
CU00477,36-45,Male,Bronze
CU00478,46-60,Female,Gold
CU00479,46-60,Female,Non-Member
CU00480,46-60,Female,Gold
CU00481,46-60,Male,Silver
CU00482,26-35,Male,Non-Member
CU00483,60+,Female,Silver
CU00484,46-60,Male,Silver
CU00485,60+,Male,Bronze
CU00486,18-25,Female,Non-Member
CU00487,26-35,Male,Gold
CU00488,46-60,Female,Gold
CU00489,26-35,Female,Gold
CU00490,18-25,Female,Gold
CU00491,26-35,Male,Gold
CU00492,46-60,Male,Silver
CU00493,36-45,Female,Non-Member
CU00494,60+,Female,Silver
CU00495,36-45,Female,Gold
CU00496,18-25,Male,Bronze
CU00497,46-60,Female,Bronze
CU00498,46-60,Male,Non-Member
CU00499,46-60,Female,Non-Member
CU00500,36-45,Female,Non-Member
CU00501,36-45,Female,Silver
CU00502,46-60,Female,Bronze
CU00503,36-45,Male,Silver
CU00504,18-25,Female,Silver
CU00505,18-25,Female,Non-Member
CU00506,36-45,Male,Bronze
CU00507,26-35,Female,Non-Member
CU00508,36-45,Male,Bronze
CU00509,46-60,Male,Non-Member
CU00510,26-35,Male,Bronze
CU00511,18-25,Male,Non-Member
CU00512,60+,Female,Bronze
CU00513,26-35,Female,Non-Member
CU00514,46-60,Male,Non-Member
CU00515,18-25,Female,Non-Member
CU00516,26-35,Male,Bronze
CU00517,18-25,Male,Non-Member
CU00518,26-35,Female,Bronze
CU00519,26-35,Male,Bronze
CU00520,36-45,Female,Silver
CU00521,46-60,Male,Bronze
CU00522,46-60,Female,Gold
CU00523,26-35,Male,Bronze
CU00524,18-25,Male,Gold
CU00525,36-45,Female,Non-Member
CU00526,60+,Male,Silver
CU00527,18-25,Female,Silver
CU00528,18-25,Male,Non-Member
CU00529,26-35,Female,Silver
CU00530,26-35,Female,Non-Member
CU00531,60+,Female,Bronze
CU00532,36-45,Female,Silver
CU00533,60+,Female,Non-Member
CU00534,18-25,Male,Silver
CU00535,36-45,Female,Silver
CU00536,18-25,Male,Bronze
CU00537,46-60,Male,Silver
CU00538,60+,Female,Silver
CU00539,60+,Male,Gold
CU00540,18-25,Male,Silver
CU00541,60+,Male,Silver
CU00542,26-35,Male,Non-Member
CU00543,36-45,Female,Non-Member
CU00544,18-25,Male,Gold
CU00545,26-35,Female,Gold
CU00546,18-25,Male,Silver
CU00547,36-45,Female,Bronze
CU00548,26-35,Female,Silver
CU00549,60+,Female,Bronze
CU00550,26-35,Female,Bronze
CU00551,36-45,Male,Silver
CU00552,36-45,Male,Gold
CU00553,26-35,Male,Non-Member
CU00554,26-35,Male,Silver
CU00555,26-35,Male,Gold
CU00556,18-25,Female,Silver
CU00557,26-35,Female,Non-Member
CU00558,46-60,Female,Non-Member
CU00559,26-35,Female,Gold
CU00560,18-25,Male,Silver
CU00561,26-35,Male,Bronze
CU00562,36-45,Female,Gold
CU00563,60+,Male,Bronze
CU00564,60+,Female,Gold
CU00565,36-45,Female,Bronze
CU00566,60+,Female,Bronze
CU00567,46-60,Male,Bronze
CU00568,26-35,Female,Bronze
CU00569,18-25,Male,Silver
CU00570,18-25,Female,Gold
CU00571,46-60,Male,Silver
CU00572,36-45,Male,Bronze
CU00573,18-25,Male,Silver
CU00574,18-25,Female,Bronze
CU00575,26-35,Male,Bronze
CU00576,18-25,Female,Bronze
CU00577,18-25,Female,Silver
CU00578,36-45,Female,Silver
CU00579,36-45,Female,Non-Member
CU00580,36-45,Female,Bronze
CU00581,60+,Female,Gold
CU00582,18-25,Male,Silver
CU00583,26-35,Female,Gold
CU00584,18-25,Female,Bronze
CU00585,18-25,Male,Gold
CU00586,26-35,Male,Gold
CU00587,26-35,Male,Gold
CU00588,46-60,Male,Silver
CU00589,26-35,Male,Bronze
CU00590,46-60,Female,Bronze
CU00591,18-25,Male,Non-Member
CU00592,60+,Male,Bronze
CU00593,18-25,Male,Gold
CU00594,26-35,Female,Bronze
CU00595,36-45,Female,Silver
CU00596,60+,Male,Bronze
CU00597,36-45,Female,Non-Member
CU00598,18-25,Male,Silver
CU00599,18-25,Female,Gold
CU00600,36-45,Male,Bronze
CU00601,60+,Female,Bronze
CU00602,46-60,Female,Gold
CU00603,60+,Female,Non-Member
CU00604,18-25,Female,Silver
CU00605,60+,Male,Gold
CU00606,18-25,Female,Bronze
CU00607,18-25,Female,Silver
CU00608,60+,Male,Bronze
CU00609,46-60,Male,Silver
CU00610,36-45,Female,Bronze
CU00611,60+,Male,Silver
CU00612,18-25,Male,Gold
CU00613,18-25,Female,Bronze
CU00614,18-25,Male,Non-Member
CU00615,36-45,Female,Silver
CU00616,46-60,Male,Gold
CU00617,46-60,Female,Gold
CU00618,46-60,Male,Gold
CU00619,26-35,Female,Non-Member
CU00620,18-25,Female,Silver
CU00621,46-60,Female,Gold
CU00622,26-35,Male,Silver
CU00623,36-45,Male,Non-Member
CU00624,18-25,Female,Gold
CU00625,60+,Male,Silver
CU00626,46-60,Male,Non-Member
CU00627,26-35,Male,Bronze
CU00628,46-60,Female,Silver
CU00629,60+,Female,Gold
CU00630,60+,Female,Non-Member
CU00631,18-25,Female,Silver
CU00632,18-25,Male,Non-Member
CU00633,18-25,Male,Silver
CU00634,46-60,Female,Bronze
CU00635,60+,Female,Silver
CU00636,18-25,Female,Gold
CU00637,26-35,Male,Non-Member
CU00638,60+,Male,Bronze
CU00639,18-25,Male,Bronze
CU00640,36-45,Female,Bronze
CU00641,46-60,Female,Non-Member
CU00642,18-25,Female,Silver
CU00643,60+,Male,Bronze
CU00644,46-60,Female,Bronze
CU00645,60+,Male,Non-Member
CU00646,18-25,Female,Non-Member
CU00647,46-60,Female,Non-Member
CU00648,18-25,Female,Non-Member
CU00649,18-25,Female,Non-Member
CU00650,46-60,Female,Silver
CU00651,60+,Male,Bronze
CU00652,36-45,Male,Bronze
CU00653,46-60,Female,Non-Member
CU00654,26-35,Male,Silver
CU00655,60+,Female,Non-Member
CU00656,60+,Female,Bronze
CU00657,60+,Female,Bronze
CU00658,60+,Male,Bronze
CU00659,18-25,Female,Silver
CU00660,18-25,Male,Silver
CU00661,36-45,Male,Silver
CU00662,46-60,Female,Silver
CU00663,46-60,Female,Bronze
CU00664,18-25,Male,Silver
CU00665,46-60,Male,Bronze
CU00666,18-25,Male,Silver
CU00667,36-45,Female,Bronze
CU00668,60+,Male,Silver
CU00669,46-60,Male,Non-Member
CU00670,60+,Male,Gold
CU00671,26-35,Female,Bronze
CU00672,18-25,Female,Silver
CU00673,26-35,Male,Silver
CU00674,36-45,Female,Gold
CU00675,26-35,Male,Gold
CU00676,18-25,Male,Bronze
CU00677,36-45,Male,Gold
CU00678,36-45,Male,Bronze
CU00679,60+,Male,Silver
CU00680,46-60,Female,Gold
CU00681,46-60,Male,Silver
CU00682,26-35,Female,Bronze
CU00683,18-25,Male,Bronze
CU00684,46-60,Male,Silver
CU00685,60+,Male,Silver
CU00686,36-45,Male,Silver
CU00687,46-60,Male,Silver
CU00688,60+,Female,Bronze
CU00689,36-45,Female,Gold
CU00690,18-25,Female,Silver
CU00691,18-25,Male,Silver
CU00692,46-60,Female,Bronze
CU00693,18-25,Male,Bronze
CU00694,36-45,Male,Bronze
CU00695,18-25,Male,Gold
CU00696,60+,Male,Bronze
CU00697,36-45,Female,Gold
CU00698,46-60,Male,Silver
CU00699,36-45,Female,Bronze
CU00700,18-25,Female,Gold
CU00701,36-45,Female,Silver
CU00702,18-25,Female,Non-Member
CU00703,46-60,Female,Silver
CU00704,60+,Female,Gold
CU00705,26-35,Male,Silver
CU00706,18-25,Female,Gold
CU00707,46-60,Male,Silver
CU00708,26-35,Female,Non-Member
CU00709,60+,Female,Silver
CU00710,60+,Female,Non-Member
CU00711,46-60,Male,Gold
CU00712,18-25,Female,Silver
CU00713,36-45,Male,Gold
CU00714,46-60,Male,Non-Member
CU00715,26-35,Male,Non-Member
CU00716,18-25,Female,Gold
CU00717,36-45,Female,Gold
CU00718,60+,Male,Silver
CU00719,18-25,Female,Non-Member
CU00720,18-25,Female,Bronze
CU00721,46-60,Female,Non-Member
CU00722,46-60,Female,Silver
CU00723,36-45,Male,Non-Member
CU00724,26-35,Female,Silver
CU00725,36-45,Female,Bronze
CU00726,18-25,Female,Gold
CU00727,26-35,Female,Bronze
CU00728,60+,Male,Gold
CU00729,26-35,Male,Gold
CU00730,46-60,Male,Gold
CU00731,36-45,Male,Non-Member
CU00732,36-45,Male,Bronze
CU00733,18-25,Male,Silver
CU00734,18-25,Female,Gold
CU00735,36-45,Female,Gold
CU00736,60+,Male,Bronze
CU00737,18-25,Female,Bronze
CU00738,18-25,Male,Bronze
CU00739,18-25,Male,Silver
CU00740,36-45,Male,Silver
CU00741,18-25,Male,Non-Member
CU00742,26-35,Female,Silver
CU00743,60+,Male,Bronze
CU00744,18-25,Female,Gold
CU00745,26-35,Male,Gold
CU00746,46-60,Female,Non-Member
CU00747,46-60,Female,Non-Member
CU00748,46-60,Female,Silver
CU00749,26-35,Male,Gold
CU00750,46-60,Female,Bronze
CU00751,18-25,Male,Non-Member
CU00752,46-60,Male,Non-Member
CU00753,18-25,Male,Non-Member
CU00754,26-35,Female,Gold
CU00755,18-25,Male,Bronze
CU00756,26-35,Male,Silver
CU00757,26-35,Female,Silver
CU00758,36-45,Female,Silver
CU00759,60+,Female,Silver
CU00760,36-45,Male,Bronze
CU00761,60+,Male,Gold
CU00762,36-45,Male,Non-Member
CU00763,60+,Female,Bronze
CU00764,60+,Male,Bronze
CU00765,18-25,Male,Bronze
CU00766,36-45,Female,Gold
CU00767,46-60,Female,Gold
CU00768,36-45,Male,Bronze
CU00769,46-60,Male,Silver
CU00770,18-25,Female,Bronze
CU00771,26-35,Male,Non-Member
CU00772,18-25,Male,Silver
CU00773,26-35,Male,Bronze
CU00774,26-35,Male,Gold
CU00775,46-60,Male,Gold
CU00776,46-60,Female,Non-Member
CU00777,26-35,Female,Gold
CU00778,26-35,Female,Non-Member
CU00779,36-45,Male,Silver
CU00780,46-60,Male,Silver
CU00781,60+,Female,Gold
CU00782,60+,Male,Bronze
CU00783,60+,Female,Bronze
CU00784,26-35,Male,Non-Member
CU00785,26-35,Female,Gold
CU00786,46-60,Female,Silver
CU00787,36-45,Male,Non-Member
CU00788,36-45,Female,Bronze
CU00789,36-45,Female,Non-Member
CU00790,36-45,Female,Non-Member
CU00791,18-25,Male,Non-Member
CU00792,18-25,Male,Silver
CU00793,26-35,Male,Gold
CU00794,18-25,Female,Gold
CU00795,36-45,Female,Gold
CU00796,18-25,Male,Silver
CU00797,60+,Female,Gold
CU00798,26-35,Female,Gold
CU00799,18-25,Female,Non-Member
CU00800,46-60,Female,Bronze
CU00801,36-45,Female,Non-Member
CU00802,26-35,Female,Bronze
CU00803,26-35,Male,Gold
CU00804,36-45,Female,Bronze
CU00805,46-60,Male,Gold
CU00806,46-60,Female,Gold
CU00807,26-35,Female,Bronze
CU00808,26-35,Male,Bronze
CU00809,26-35,Male,Non-Member
CU00810,18-25,Female,Silver
CU00811,60+,Male,Non-Member
CU00812,36-45,Female,Non-Member
CU00813,46-60,Male,Silver
CU00814,26-35,Male,Bronze
CU00815,26-35,Female,Non-Member
CU00816,60+,Male,Non-Member
CU00817,36-45,Female,Gold
CU00818,46-60,Female,Non-Member
CU00819,60+,Female,Bronze
CU00820,26-35,Female,Gold
CU00821,26-35,Female,Bronze
CU00822,18-25,Male,Non-Member
CU00823,18-25,Female,Non-Member
CU00824,26-35,Female,Silver
CU00825,60+,Male,Bronze
CU00826,60+,Female,Bronze
CU00827,18-25,Male,Silver
CU00828,26-35,Male,Non-Member
CU00829,60+,Male,Non-Member
CU00830,46-60,Female,Gold
CU00831,60+,Male,Silver
CU00832,18-25,Male,Gold
CU00833,46-60,Female,Bronze
CU00834,46-60,Female,Gold
CU00835,60+,Male,Non-Member
CU00836,60+,Male,Non-Member
CU00837,46-60,Male,Gold
CU00838,46-60,Male,Silver
CU00839,46-60,Female,Non-Member
CU00840,26-35,Female,Bronze
CU00841,18-25,Male,Non-Member
